,Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes
0,#TheLateBatsby,G,2018,0.0,"Animation,Short,Action",4,5.5,0.0
1,$5 a Day,PG-13,2008,0.0,"Comedy,Drama",98,6.3,0.0
2,$50K and a Call Girl: A Love Story,R,2014,0.0,"Action,Adventure,Comedy",90,6.8,0.0
3,'R Xmas,R,2001,0.0,"Crime,Drama,Thriller",85,5.7,1385.0
4,'Til There Was You,PG-13,1997,3.48,"Romance,Comedy",113,4.8,2746.0
5,'Tis the Season,G,2007,0.0,"Short,Family",6,8.0,0.0
6,'Wallace and Gromit: The Curse of the Were-Rabbit': On the Set - Part 1,G,2005,0.0,Documentary,84,7.2,0.0
7,'Weird Al' Yankovic Live!: The Alpocalypse Tour,PG,2011,0.0,Comedy,86,7.6,0.0
8,'Weird Al' Yankovic: Amish Paradise,PG-13,1996,0.0,"Short,Music",3,8.0,0.0
9,500 Days of Summer,PG-13,2009,32.39,"Comedy,Drama,Romance",95,7.7,483363.0
10,Dean,PG-13,2016,0.25,"Comedy,Drama,Romance",94,6.3,2422.0
11,(Mis)Leading Man,PG-13,2008,0.0,"Short,Drama",18,8.6,0.0
12,(Untitled),R,2009,0.23,"Comedy,Drama,Music",96,6.3,2139.0
13,...First Do No Harm,PG-13,1997,0.0,Drama,94,6.8,0.0
14,.45,R,2006,0.0,"Crime,Drama,Thriller",101,5.5,0.0
15,1 Angry Black Man,R,2018,0.0,Drama,92,7.9,0.0
16,1 Chance 2 Dance,G,2014,0.0,"Drama,Family",89,4.8,0.0
17,1 Love,PG,2003,0.0,"Documentary,Sport",93,6.7,0.0
18,10 Cent Pistol,Unrated,2014,0.0,"Crime,Thriller",91,4.8,0.0
19,10 Cloverfield Lane,PG-13,2016,72.08,"Action,Drama,Horror",103,7.2,300388.0
20,10 Days in a Madhouse,R,2015,0.01,Drama,111,6.2,1167.0
21,10 Items or Less,R,2006,0.08,"Comedy,Drama",82,6.6,14651.0
22,10 Things I Hate About You,PG-13,1999,38.18,"Comedy,Drama,Romance",97,7.3,309363.0
23,10 Years,PG-13,2011,0.2,"Comedy,Drama,Romance",100,6.1,24599.0
24,"10,000 BC",PG-13,2008,94.78,"Action,Adventure,Drama",109,5.1,127161.0
25,"10, 000 Black Men Named George",R,2002,0.0,Drama,95,6.9,0.0
26,Ten Thousand Saints,R,2015,0.06,"Comedy,Drama,Music",113,5.9,5432.0
27,100 Feet,R,2008,0.0,"Horror,Mystery,Thriller",96,5.5,0.0
28,100 Girls,R,2000,0.0,"Comedy,Romance",94,5.8,0.0
29,100 Kilos,R,2001,0.0,"Crime,Drama",89,5.4,0.0
30,100 Mile Rule,R,2002,0.0,Comedy,98,5.6,0.0
31,100 Tears,NC-17,2007,0.0,Horror,90,4.1,0.0
32,101 Dalmatians,G,1996,136.19,"Adventure,Comedy,Crime",103,5.7,106192.0
33,101 Dalmatians 2: Patch's London Adventure,G,2002,0.0,"Animation,Adventure,Comedy",74,5.8,0.0
34,101 Even Bigger Celebrity Oops,PG-13,2005,0.0,"Documentary,Comedy",60,5.2,0.0
35,102 Dalmatians,G,2000,66.96,"Adventure,Comedy,Family",100,4.9,35861.0
36,1040 Not So EZ,R,2017,0.0,Drama,85,9.0,0.0
37,108 Stitches,R,2014,0.0,"Comedy,Romance,Sport",118,4.5,0.0
38,10th & Wolf,R,2006,0.05,"Crime,Drama,Thriller",107,6.3,6216.0
39,11:14,R,2003,0.0,"Crime,Drama,Mystery",86,7.2,0.0
40,12 Angry Men,PG-13,1997,0.0,"Crime,Drama",117,7.8,0.0
41,12 Dates of Christmas,PG,2011,0.0,"Comedy,Fantasy,Romance",90,6.3,0.0
42,12 Dogs of Christmas: Great Puppy Rescue,PG,2012,0.0,"Adventure,Comedy,Family",102,5.1,0.0
43,12 Men of Christmas,PG,2009,0.0,"Comedy,Romance",95,5.6,0.0
44,12 Rounds,PG-13,2009,12.23,"Action,Crime,Thriller",108,5.6,27819.0
45,12 Rounds 2: Reloaded,R,2013,0.0,"Action,Adventure,Thriller",95,5.3,0.0
46,12 Rounds 3: Lockdown,R,2015,0.0,"Action,Crime,Thriller",90,5.2,0.0
47,12 Strong,R,2018,45.5,"Action,Drama,History",130,6.6,71769.0
48,12 Wishes of Christmas,G,2011,0.0,"Comedy,Fantasy",87,5.5,0.0
49,12 Years a Slave,R,2013,56.67,"Biography,Drama,History",134,8.1,657895.0
50,12 and Holding,R,2005,0.1,Drama,94,7.5,6795.0
51,12-12-12,R,2013,0.0,Documentary,105,5.1,0.0
52,127 Hours,R,2010,18.34,"Biography,Drama",94,7.5,356462.0
53,12:01,PG-13,1993,0.0,"Comedy,Sci-Fi,Thriller",92,6.8,0.0
54,13,R,2010,0.0,"Crime,Drama,Thriller",91,6.1,0.0
55,13 Going on 30,PG-13,2004,57.23,"Comedy,Fantasy,Romance",98,6.2,174360.0
56,13 Hours,R,2016,52.85,"Action,Drama,History",144,7.3,126250.0
57,13 Moons,R,2002,0.0,Comedy,93,5.8,0.0
58,13 Sins,R,2014,0.01,"Horror,Thriller",93,6.3,34699.0
59,14 Million Dreams,PG,2004,0.0,"Documentary,Drama",52,7.7,0.0
60,1408,PG-13,2007,71.99,"Fantasy,Horror,Mystery",104,6.8,259960.0
61,15 Minutes,R,2001,24.4,"Action,Crime,Drama",120,6.1,49130.0
62,16 Blocks,PG-13,2006,36.9,"Action,Drama,Thriller",102,6.6,127806.0
63,16 Stones,PG,2014,0.0,Adventure,93,5.1,0.0
64,16 Wishes,G,2010,0.0,"Drama,Family,Fantasy",90,5.4,0.0
65,16-Love,PG,2012,0.0,"Comedy,Drama,Family",88,5.7,0.0
66,17 Again,PG-13,2009,64.17,"Comedy,Drama,Fantasy",102,6.4,186931.0
67,17 Miracles,PG,2011,0.0,"Adventure,History",113,6.4,0.0
68,18 Shades of Dust,R,1999,0.0,"Crime,Drama",95,4.8,0.0
69,180° South,PG,2010,0.03,"Documentary,Drama,Sport",85,7.6,2958.0
