Title,Movie Rating,Year,Gross Income in millions (USD),Movie Genre,Movie Runtime,IMDb Rating,Votes,Budget in millions (USD),Profit percent
10 Cloverfield Lane,PG-13,2016,72.08,"Action,Drama,Horror",103,7.2,300388.0,5.0,1341.6000000000001
10 Cloverfield Lane,PG-13,2016,72.08,"Action,Drama,Horror",103,7.2,300446.0,5.0,1341.6000000000001
10 Days in a Madhouse,R,2015,0.01,Drama,111,6.2,1167.0,12.0,-99.91666666666667
10 Days in a Madhouse,R,2015,0.01,Drama,111,6.2,1214.0,12.0,-99.91666666666667
10 Things I Hate About You,PG-13,1999,38.18,"Comedy,Drama,Romance",97,7.3,309363.0,13.0,193.6923076923077
10 Things I Hate About You,PG-13,1999,38.18,"Comedy,Drama,Romance",97,7.3,309430.0,13.0,193.6923076923077
102 Dalmatians,G,2000,66.96,"Adventure,Comedy,Family",100,4.9,35861.0,85.0,-21.223529411764712
102 Dalmatians,G,2000,66.96,"Adventure,Comedy,Family",100,4.9,35879.0,85.0,-21.223529411764712
10th & Wolf,R,2006,0.05,"Crime,Drama,Thriller",107,6.3,6216.0,8.0,-99.375
10th & Wolf,R,2006,0.05,"Crime,Drama,Thriller",107,6.3,6222.0,8.0,-99.375
11:14,R,2003,22.53,"Crime,Drama,Mystery",86,7.2,51491.0,6.0,-100.0
11:14,R,2003,22.53,"Crime,Drama,Mystery",86,7.2,51491.0,6.0,-100.0
12 Angry Men,PG-13,1997,22.53,"Crime,Drama",117,7.8,51491.0,0.34,-100.0
12 Angry Men,PG-13,1997,22.53,"Crime,Drama",117,7.8,51491.0,0.34,-100.0
12 Rounds,PG-13,2009,12.23,"Action,Crime,Thriller",108,5.6,27819.0,20.0,-38.849999999999994
12 Rounds,PG-13,2009,12.23,"Action,Crime,Thriller",108,5.6,27831.0,20.0,-38.849999999999994
12 Strong,R,2018,45.5,"Action,Drama,History",130,6.6,71769.0,35.0,30.0
12 Strong,R,2018,45.5,"Action,Drama,History",130,6.6,71789.0,35.0,30.0
12 Years a Slave,R,2013,56.67,"Biography,Drama,History",134,8.1,657895.0,20.0,183.35000000000002
12 Years a Slave,R,2013,56.67,"Biography,Drama,History",134,8.1,657986.0,20.0,183.35000000000002
127 Hours,R,2010,18.34,"Biography,Drama",94,7.5,356462.0,18.0,1.8888888888888882
127 Hours,R,2010,18.34,"Biography,Drama",94,7.5,356509.0,18.0,1.8888888888888882
13 Sins,R,2014,0.01,"Horror,Thriller",93,6.3,34699.0,4.0,-99.75
13 Sins,R,2014,0.01,"Horror,Thriller",93,6.3,34707.0,4.0,-99.75
1408,PG-13,2007,71.99,"Fantasy,Horror,Mystery",104,6.8,259960.0,22.5,219.95555555555555
1408,PG-13,2007,71.99,"Fantasy,Horror,Mystery",104,6.8,260006.0,22.5,219.95555555555555
15 Minutes,R,2001,24.4,"Action,Crime,Drama",120,6.1,49130.0,42.0,-41.904761904761905
15 Minutes,R,2001,24.4,"Action,Crime,Drama",120,6.1,49144.0,42.0,-41.904761904761905
